From;To;Resources;tc_min;tc_max;c_exch_network
CB;CH;ELECTRICITY;0;0.1425;0
CH;CB;ELECTRICITY;0;0.1425;0
CB;SC;ELECTRICITY;0;0.2725;0
SC;CB;ELECTRICITY;0;0.2725;0
CB;OR;ELECTRICITY;0;0.31421;0
CB;PT;ELECTRICITY;0;0.074;0
PT;CB;ELECTRICITY;0;0.074;0
CB;LP;ELECTRICITY;0;0.3858;0
LP;BN;ELECTRICITY;0;0.1051;0
BN;LP;ELECTRICITY;0;0.074;0
LP;OR;ELECTRICITY;0;0.13;0
LP;CB;ELECTRICITY;0;0.3118;0
OR;CB;ELECTRICITY;0;0.293;0
OR;PT;ELECTRICITY;0;0.074;0
PT;OR;ELECTRICITY;0;0.074;0
OR;LP;ELECTRICITY;0;0.13;0
PT;CH;ELECTRICITY;0;0.2185;0
CH;PT;ELECTRICITY;0;0.2185;0
CH;SC;ELECTRICITY;0;0.0152;0
SC;BN;ELECTRICITY;0;0.14004;0
BN;SC;ELECTRICITY;0;0.14004;0
TJ;PT;ELECTRICITY;0;0.3258;0
PT;TJ;ELECTRICITY;0;0.3258;0
CB;SC;GAS;0;2.90629;0
SC;CB;GAS;0;2.90629;0
CB;CH;GAS;0;0.126997464;0
CH;CB;GAS;0;0.126997464;0
CB;OR;GAS;0;1.233340754;0
OR;CB;GAS;0;1.233340754;0
LP;OR;GAS;0;1.088026348;0
OR;LP;GAS;0;1.088026348;0
SC;TJ;GAS;0;4.156114114;0
TJ;SC;GAS;0;4.156114114;0
SC;CH;GAS;0;0.263763963;0
CH;SC;GAS;0;0.263763963;0
CH;PT;GAS;0;0.125776334;0
PT;CH;GAS;0;0.125776334;0
SC;BN;GAS;0;4.156114114;0
BN;SC;GAS;0;4.156114114;0
BN;SANA;GAS;0;4.156114114;0
SANA;BN;GAS;0;4.156114114;0
