Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;13.465989;10.81786;3.08823;0;[GWh]. 
Electricity;variable;ELECTRICITY_VAR;1.496221;1.21519;3.08823;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;0;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;0;0;0;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;0;0;0;0;[GWh]
Heat;cooking;COOKING;20.34672117;0;0;0;[GWh] 
Cold;process cooling;PROCESS_COOLING;0;0;0;0;[GWh]
Cold;space cooling;SPACE_COOLING;0;0;0;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;0;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;0;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;0;0;[GWh]
